drug_1,drug_2,cosine_similarity
LENALIDOMIDE,ADALIMUMAB,0.80202526
RISANKIZUMAB-RZAA,SOMATROPIN,0.8010535
LENALIDOMIDE,PEMBROLIZUMAB,0.8007325
CORTICOTROPIN,TREPROSTINIL,0.79988635
VEDOLIZUMAB,CENOBAMATE,0.799268
SOMATROPIN,ACETAMINOPHEN,0.7985987
ADAPALENE,GUSELKUMAB,0.7973071
ADAPALENE,ADALIMUMAB,0.79721475
VEDOLIZUMAB,SOMATROPIN,0.79706836
TIRZEPATIDE,CORTICOTROPIN,0.795405
LENALIDOMIDE,GUSELKUMAB,0.79511905
VEDOLIZUMAB,ADAPALENE,0.7949956
ACETAMINOPHEN,INSULIN GLARGINE,0.7949881
LENALIDOMIDE,ACETAMINOPHEN,0.79444623
VEDOLIZUMAB,TREPROSTINIL,0.79394823
CORTICOTROPIN,ACETAMINOPHEN,0.7939445
SEMAGLUTIDE,CLOZAPINE,0.79329634
SOMATROPIN,CLOZAPINE,0.7929464
LENALIDOMIDE,SOMATROPIN,0.79288125
SOMATROPIN,GUSELKUMAB,0.79235536
CLOZAPINE,TREPROSTINIL,0.7917145
ADALIMUMAB,PIMAVANSERIN TARTRATE,0.79065484
SOMATROPIN,RITUXIMAB,0.787427
INSULIN GLARGINE,CLOZAPINE,0.7866485
SEMAGLUTIDE,ADALIMUMAB,0.78619194
PEMBROLIZUMAB,INSULIN GLARGINE,0.786147
UPADACITINIB,CLOZAPINE,0.78600836
INSULIN GLARGINE,RITUXIMAB,0.78521484
PEMBROLIZUMAB,TREPROSTINIL,0.78500265
ADAPALENE,PEMBROLIZUMAB,0.7845784
CLOZAPINE,PIMAVANSERIN TARTRATE,0.7842039
LENALIDOMIDE,CLOZAPINE,0.7831391
ACETAMINOPHEN,TREPROSTINIL,0.7813515
INFLIXIMAB,ACETAMINOPHEN,0.7812723
CORTICOTROPIN,CENOBAMATE,0.78116894
DUPILUMAB,ACETAMINOPHEN,0.78092116
CENOBAMATE,RITUXIMAB,0.7798821
SOMATROPIN,ADALIMUMAB,0.77929145
ACETAMINOPHEN,NEMOLIZUMAB-ILTO,0.7788147
CLOZAPINE,RITUXIMAB,0.7785953
ADAPALENE,CORTICOTROPIN,0.7783567
CENOBAMATE,GUSELKUMAB,0.776716
SEMAGLUTIDE,CORTICOTROPIN,0.7766549
SOMATROPIN,PEMBROLIZUMAB,0.7764108
CORTICOTROPIN,INFLIXIMAB,0.77544135
CLOZAPINE,GUSELKUMAB,0.77513826
LENALIDOMIDE,RITUXIMAB,0.7745081
UPADACITINIB,ACETAMINOPHEN,0.77333844
CORTICOTROPIN,CLOZAPINE,0.76868606
CABOZANTINIB S-MALATE,CORTICOTROPIN,0.7681133
ADALIMUMAB,TREPROSTINIL,0.76701623
DUPILUMAB,CORTICOTROPIN,0.7652278
ACETAMINOPHEN,RITUXIMAB,0.7597438
ADAPALENE,RITUXIMAB,0.75872993
PEMBROLIZUMAB,ACETAMINOPHEN,0.7567885
VEDOLIZUMAB,ACETAMINOPHEN,0.75558513
UPADACITINIB,CORTICOTROPIN,0.7542806
CORTICOTROPIN,NEMOLIZUMAB-ILTO,0.7528362
RISANKIZUMAB-RZAA,ACETAMINOPHEN,0.7514953
LENALIDOMIDE,CORTICOTROPIN,0.74803174
COPPER,ADAPALENE,0.73598886
ADALIMUMAB,ACETAMINOPHEN,0.7347886
VEDOLIZUMAB,CORTICOTROPIN,0.73306555
RISANKIZUMAB-RZAA,CORTICOTROPIN,0.73280054
CORTICOTROPIN,RITUXIMAB,0.73044616
ACETAMINOPHEN,GUSELKUMAB,0.72511715
COPPER,CENOBAMATE,0.7244325
DUPILUMAB,COPPER,0.7154624
CORTICOTROPIN,PEMBROLIZUMAB,0.7148247
CORTICOTROPIN,ADALIMUMAB,0.71114075
COPPER,CLOZAPINE,0.70991397
COPPER,INSULIN GLARGINE,0.70695484
CORTICOTROPIN,GUSELKUMAB,0.7066385
ABALOPARATIDE,COPPER,0.6944096
COPPER,SOMATROPIN,0.6942542
TIRZEPATIDE,COPPER,0.6938817
COPPER,CABOZANTINIB S-MALATE,0.66535294
COPPER,ACETAMINOPHEN,0.6651743
COPPER,INFLIXIMAB,0.6646045
COPPER,SEMAGLUTIDE,0.66303074
COPPER,RITUXIMAB,0.65002537
COPPER,ADALIMUMAB,0.64857256
COPPER,PIMAVANSERIN TARTRATE,0.6465441
COPPER,TREPROSTINIL,0.6414694
COPPER,VEDOLIZUMAB,0.6390651
COPPER,UPADACITINIB,0.63585883
COPPER,PEMBROLIZUMAB,0.6333184
COPPER,GUSELKUMAB,0.63206506
LENALIDOMIDE,COPPER,0.6292344
COPPER,CORTICOTROPIN,0.6236731
COPPER,NEMOLIZUMAB-ILTO,0.60949117
RISANKIZUMAB-RZAA,COPPER,0.6056429
