gen,best,mean,div_geno,selpres,sigma,event,immigrants
223,0.10797318842634872,0.10116070030266647,0.10797744368367719,1.7,0.1476753507014028,-,0
224,0.10797318842634872,0.10133757408535846,0.10712156044679573,1.7,0.1472144288577154,-,0
225,0.10797318842634872,0.10088709660744925,0.10979361382940189,1.7,0.14675350701402806,-,0
226,0.10797318842634872,0.10062075098034758,0.11224747336104042,1.7,0.14629258517034066,-,0
227,0.10797318842634872,0.10064125709054128,0.11437193767464522,1.7,0.14583166332665332,-,0
228,0.10797318842634872,0.10090750074215797,0.11612445714217916,1.7,0.07268537074148296,damp,0
229,0.10797318842634872,0.1010168800347683,0.11562885031176469,1.7,0.07245490981963928,damp,0
230,0.10797318842634872,0.10180193232377802,0.11331820604808795,1.7,0.14444889779559117,-,0
231,0.10797318842634872,0.1019021728911305,0.11446808113490888,1.7,0.1439879759519038,-,0
232,0.10855463416844054,0.10158985416258717,0.1148488297970957,1.7,0.14352705410821642,-,0
233,0.10855463416844054,0.10185684488090292,0.11474285052729885,1.7,0.14306613226452905,-,0
234,0.10855463416844054,0.10146968308602773,0.11612103955964284,1.7,0.07130260521042084,damp,0
235,0.10855463416844054,0.1021326654215198,0.11323580162170016,1.7,0.1421442885771543,-,0
236,0.10855463416844054,0.10199616423149893,0.1137688991602557,1.7,0.14168336673346693,-,0
237,0.10855463416844054,0.10234509819902105,0.11408972422061515,1.7,0.14122244488977956,-,0
238,0.10855463416844054,0.1023223427562769,0.11385369362207118,1.7,0.14076152304609219,-,0
239,0.10855463416844054,0.102399514317881,0.1129398168666929,1.7,0.1403006012024048,-,0
240,0.1091147131105259,0.10237629013596972,0.11266261798382383,1.7,0.13983967935871744,-,0
241,0.1091147131105259,0.10250073844979571,0.11286857066447684,1.7,0.13937875751503007,-,0
242,0.10988601330966759,0.10341334041532728,0.11179464750643049,1.7,0.1389178356713427,-,0
243,0.1125620177952476,0.10358428402256895,0.11332591314595161,1.7,0.1384569138276553,-,0
244,0.1125620177952476,0.10384719254599002,0.11604505217349785,1.7,0.06899799599198397,damp,0
245,0.1125620177952476,0.10450382935133382,0.11465468908645257,1.7,0.13753507014028055,-,0
246,0.1125620177952476,0.10520735060468027,0.11572304142105112,1.7,0.0685370741482966,damp,0
247,0.1125620177952476,0.10533268060634252,0.11300914666950952,1.7,0.1366132264529058,-,0
248,0.1125620177952476,0.10605039167603225,0.11249815403951482,1.7,0.13615230460921843,-,0
249,0.1125620177952476,0.10638643384651844,0.11116975397102047,1.7,0.13569138276553105,-,0
250,0.1125620177952476,0.1063826595761946,0.11100151909672373,1.7,0.13523046092184368,-,0
251,0.11394993786953213,0.10689787532556635,0.1083558433726014,1.7,0.1347695390781563,-,0
252,0.11394993786953213,0.10745050588909053,0.10750871855899319,1.7,0.13430861723446896,-,0
253,0.11394993786953213,0.10747157825405784,0.10574994635251928,1.7,0.13384769539078156,-,0
254,0.11394993786953213,0.10786141191439994,0.10695431741627834,1.7,0.1333867735470942,-,0
255,0.11394993786953213,0.10792373176381811,0.1065086786301065,1.7,0.13292585170340682,-,0
256,0.11394993786953213,0.10854502748714104,0.10430475642783263,1.7,0.13246492985971944,-,0
257,0.11394993786953213,0.10851415600195571,0.10311932547880465,1.7,0.13200400801603207,-,0
258,0.11394993786953213,0.10812365854618848,0.10534643949864747,1.7,0.1315430861723447,-,0
259,0.11394993786953213,0.10811139688004512,0.10546239304853282,1.7,0.13108216432865732,-,0
260,0.11394993786953213,0.10821019472762154,0.10692313403577233,1.7,0.13062124248496992,-,0
261,0.11394993786953213,0.10845206164159149,0.10809242348518726,1.7,0.13016032064128258,-,0
262,0.11394993786953213,0.10876506141589823,0.10883736747594865,1.7,0.12969939879759518,-,0
263,0.11394993786953213,0.10844638137650935,0.10937303985114001,1.7,0.12923847695390783,-,0
264,0.11394993786953213,0.10845361965280412,0.11147854167803609,1.7,0.12877755511022043,-,0
265,0.11394993786953213,0.1086425888197341,0.11212886196732658,1.7,0.1283166332665331,-,0
266,0.11394993786953213,0.10878370933335746,0.11193640556554725,1.7,0.12785571142284569,-,0
267,0.11394993786953213,0.10894720822360124,0.11133323073764774,1.7,0.1273947895791583,-,0
268,0.11394993786953213,0.10886954343267671,0.11125981018837848,1.7,0.12693386773547094,-,0
269,0.11394993786953213,0.10934046644242752,0.11252994491123605,1.7,0.12647294589178357,-,0
